study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA400072	SAMN08049814	SRX3558790	SRR6468554	408170	human gut metagenome	G85122	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468554/SRR6468554.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468554/SRR6468554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468554/SRR6468554_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468554
PRJNA400072	SAMN08049813	SRX3558789	SRR6468555	408170	human gut metagenome	G85418	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468555/SRR6468555.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468555/SRR6468555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468555/SRR6468555_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468555
PRJNA400072	SAMN08049812	SRX3558788	SRR6468556	408170	human gut metagenome	G85340	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468556/SRR6468556.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468556/SRR6468556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468556/SRR6468556_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468556
PRJNA400072	SAMN08049811	SRX3558787	SRR6468557	408170	human gut metagenome	G85419	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468557/SRR6468557.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468557/SRR6468557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468557/SRR6468557_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468557
PRJNA400072	SAMN08049810	SRX3558786	SRR6468558	408170	human gut metagenome	G85257	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468558/SRR6468558.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468558/SRR6468558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468558/SRR6468558_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468558
PRJNA400072	SAMN08049693	SRX3558785	SRR6468559	408170	human gut metagenome	G36365	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468559/SRR6468559.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468559/SRR6468559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468559/SRR6468559_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468559
PRJNA400072	SAMN08049694	SRX3558784	SRR6468560	408170	human gut metagenome	G36353	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468560/SRR6468560.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468560/SRR6468560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468560/SRR6468560_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468560
PRJNA400072	SAMN08049695	SRX3558783	SRR6468561	408170	human gut metagenome	G36355	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468561/SRR6468561.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468561/SRR6468561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468561/SRR6468561_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468561
PRJNA400072	SAMN08049696	SRX3558782	SRR6468562	408170	human gut metagenome	G72686	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468562/SRR6468562.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468562/SRR6468562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468562/SRR6468562_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468562
PRJNA400072	SAMN08049688	SRX3558781	SRR6468563	408170	human gut metagenome	G36354	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468563/SRR6468563.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468563/SRR6468563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468563/SRR6468563_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468563
PRJNA400072	SAMN08049690	SRX3558780	SRR6468564	408170	human gut metagenome	G72684	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468564/SRR6468564.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468564/SRR6468564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468564/SRR6468564_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468564
PRJNA400072	SAMN08049819	SRX3558779	SRR6468565	408170	human gut metagenome	G85342	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468565/SRR6468565.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468565/SRR6468565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468565/SRR6468565_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468565
PRJNA400072	SAMN08049818	SRX3558778	SRR6468566	408170	human gut metagenome	G85210	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468566/SRR6468566.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468566/SRR6468566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468566/SRR6468566_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468566
PRJNA400072	SAMN08049713	SRX3558777	SRR6468567	408170	human gut metagenome	G72714	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468567/SRR6468567.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468567/SRR6468567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468567/SRR6468567_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468567
PRJNA400072	SAMN08049714	SRX3558776	SRR6468568	408170	human gut metagenome	G36363	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468568/SRR6468568.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468568/SRR6468568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468568/SRR6468568_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468568
PRJNA400072	SAMN08049715	SRX3558775	SRR6468569	408170	human gut metagenome	G36395	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468569/SRR6468569.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468569/SRR6468569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468569/SRR6468569_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468569
PRJNA400072	SAMN08049716	SRX3558774	SRR6468570	408170	human gut metagenome	G72692	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468570/SRR6468570.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468570/SRR6468570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468570/SRR6468570_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468570
PRJNA400072	SAMN08049709	SRX3558773	SRR6468571	408170	human gut metagenome	G36362	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468571/SRR6468571.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468571/SRR6468571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468571/SRR6468571_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468571
PRJNA400072	SAMN08049710	SRX3558772	SRR6468572	408170	human gut metagenome	G48806	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468572/SRR6468572.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468572/SRR6468572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468572/SRR6468572_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468572
PRJNA400072	SAMN08049711	SRX3558771	SRR6468573	408170	human gut metagenome	G36367	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468573/SRR6468573.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468573/SRR6468573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468573/SRR6468573_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468573
PRJNA400072	SAMN08049712	SRX3558770	SRR6468574	408170	human gut metagenome	G35128	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468574/SRR6468574.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468574/SRR6468574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468574/SRR6468574_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468574
PRJNA400072	SAMN08049717	SRX3558769	SRR6468575	408170	human gut metagenome	G36375	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468575/SRR6468575.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468575/SRR6468575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468575/SRR6468575_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468575
PRJNA400072	SAMN08049718	SRX3558768	SRR6468576	408170	human gut metagenome	G72693	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468576/SRR6468576.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468576/SRR6468576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468576/SRR6468576_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468576
PRJNA400072	SAMN08049841	SRX3558767	SRR6468577	408170	human gut metagenome	G84104	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468577/SRR6468577.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468577/SRR6468577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468577/SRR6468577_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468577
PRJNA400072	SAMN08049840	SRX3558766	SRR6468578	408170	human gut metagenome	G83831	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468578/SRR6468578.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468578/SRR6468578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468578/SRR6468578_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468578
PRJNA400072	SAMN08049619	SRX3558765	SRR6468579	408170	human gut metagenome	G48796	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468579/SRR6468579.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468579/SRR6468579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468579/SRR6468579_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468579
PRJNA400072	SAMN08049618	SRX3558764	SRR6468580	408170	human gut metagenome	G36386	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468580/SRR6468580.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468580/SRR6468580_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468580/SRR6468580_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468580
PRJNA400072	SAMN08049621	SRX3558763	SRR6468581	408170	human gut metagenome	G36390	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468581/SRR6468581.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468581/SRR6468581_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468581/SRR6468581_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468581
PRJNA400072	SAMN08049620	SRX3558762	SRR6468582	408170	human gut metagenome	G48780	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468582/SRR6468582.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468582/SRR6468582_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468582/SRR6468582_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468582
PRJNA400072	SAMN08049623	SRX3558761	SRR6468583	408170	human gut metagenome	G36387	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468583/SRR6468583.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468583/SRR6468583_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468583/SRR6468583_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468583
PRJNA400072	SAMN08049622	SRX3558760	SRR6468584	408170	human gut metagenome	G36356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468584/SRR6468584.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468584/SRR6468584_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468584/SRR6468584_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468584
PRJNA400072	SAMN08049625	SRX3558759	SRR6468585	408170	human gut metagenome	G48815	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468585/SRR6468585.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468585/SRR6468585_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468585/SRR6468585_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468585
PRJNA400072	SAMN08049624	SRX3558758	SRR6468586	408170	human gut metagenome	G48804	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468586/SRR6468586.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468586/SRR6468586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468586/SRR6468586_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468586
PRJNA400072	SAMN08049702	SRX3558757	SRR6468587	408170	human gut metagenome	G72689	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468587/SRR6468587.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468587/SRR6468587_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468587/SRR6468587_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468587
PRJNA400072	SAMN08049701	SRX3558756	SRR6468588	408170	human gut metagenome	G72688	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468588/SRR6468588.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468588/SRR6468588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468588/SRR6468588_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468588
PRJNA400072	SAMN08049700	SRX3558755	SRR6468589	408170	human gut metagenome	G72687	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468589/SRR6468589.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468589/SRR6468589_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468589/SRR6468589_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468589
PRJNA400072	SAMN08049699	SRX3558754	SRR6468590	408170	human gut metagenome	G36358	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468590/SRR6468590.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468590/SRR6468590_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468590/SRR6468590_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468590
PRJNA400072	SAMN08049706	SRX3558753	SRR6468591	408170	human gut metagenome	G36361	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468591/SRR6468591.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468591/SRR6468591_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468591/SRR6468591_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468591
PRJNA400072	SAMN08049705	SRX3558752	SRR6468592	408170	human gut metagenome	G36360	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468592/SRR6468592.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468592/SRR6468592_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468592/SRR6468592_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468592
PRJNA400072	SAMN08049704	SRX3558751	SRR6468593	408170	human gut metagenome	G72691	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468593/SRR6468593.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468593/SRR6468593_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468593/SRR6468593_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468593
PRJNA400072	SAMN08049703	SRX3558750	SRR6468594	408170	human gut metagenome	G72690	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468594/SRR6468594.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468594/SRR6468594_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468594/SRR6468594_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468594
PRJNA400072	SAMN08049708	SRX3558749	SRR6468595	408170	human gut metagenome	G36359	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468595/SRR6468595.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468595/SRR6468595_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468595/SRR6468595_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468595
PRJNA400072	SAMN08049707	SRX3558748	SRR6468596	408170	human gut metagenome	G35127	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468596/SRR6468596.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468596/SRR6468596_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468596/SRR6468596_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468596
PRJNA400072	SAMN08049648	SRX3558747	SRR6468597	408170	human gut metagenome	G72723	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468597/SRR6468597.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468597/SRR6468597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468597/SRR6468597_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468597
PRJNA400072	SAMN08049649	SRX3558746	SRR6468598	408170	human gut metagenome	G72724	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468598/SRR6468598.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468598/SRR6468598_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468598/SRR6468598_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468598
PRJNA400072	SAMN08049628	SRX3558745	SRR6468599	408170	human gut metagenome	G36379	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468599/SRR6468599.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468599/SRR6468599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468599/SRR6468599_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468599
PRJNA400072	SAMN08049629	SRX3558744	SRR6468600	408170	human gut metagenome	G72672	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468600/SRR6468600.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468600/SRR6468600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/000/SRR6468600/SRR6468600_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/000/SRR6468600
PRJNA400072	SAMN08049626	SRX3558743	SRR6468601	408170	human gut metagenome	G36378	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468601/SRR6468601.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468601/SRR6468601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/001/SRR6468601/SRR6468601_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/001/SRR6468601
PRJNA400072	SAMN08049627	SRX3558742	SRR6468602	408170	human gut metagenome	G36381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468602/SRR6468602.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468602/SRR6468602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/002/SRR6468602/SRR6468602_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/002/SRR6468602
PRJNA400072	SAMN08049632	SRX3558741	SRR6468603	408170	human gut metagenome	G36351	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468603/SRR6468603.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468603/SRR6468603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/003/SRR6468603/SRR6468603_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/003/SRR6468603
PRJNA400072	SAMN08049633	SRX3558740	SRR6468604	408170	human gut metagenome	G72717	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468604/SRR6468604.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468604/SRR6468604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/004/SRR6468604/SRR6468604_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/004/SRR6468604
PRJNA400072	SAMN08049630	SRX3558739	SRR6468605	408170	human gut metagenome	G48799	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468605/SRR6468605.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468605/SRR6468605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/005/SRR6468605/SRR6468605_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/005/SRR6468605
PRJNA400072	SAMN08049631	SRX3558738	SRR6468606	408170	human gut metagenome	G48823	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468606/SRR6468606.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468606/SRR6468606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/006/SRR6468606/SRR6468606_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/006/SRR6468606
PRJNA400072	SAMN08049634	SRX3558737	SRR6468607	408170	human gut metagenome	G36371	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468607/SRR6468607.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468607/SRR6468607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/007/SRR6468607/SRR6468607_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/007/SRR6468607
PRJNA400072	SAMN08049635	SRX3558736	SRR6468608	408170	human gut metagenome	G36380	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468608/SRR6468608.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468608/SRR6468608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/008/SRR6468608/SRR6468608_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/008/SRR6468608
PRJNA400072	SAMN08049697	SRX3558735	SRR6468609	408170	human gut metagenome	G36394	ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468609/SRR6468609.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468609/SRR6468609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR646/009/SRR6468609/SRR6468609_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR646/009/SRR6468609
